"Key","Name","Category","ProjectType","Lead","Url"
"GT7","GT7 ","其他","software",,"http://tvjira.hisense.com/projects/GT7"
"H1","H1","其他","software",,"http://tvjira.hisense.com/projects/H1"
"H3","H3","其他","software",,"http://tvjira.hisense.com/projects/H3"
"H5","H5","其他","software",,"http://tvjira.hisense.com/projects/H5"
"H5EI","H5电子说明书","其他","software",,"http://tvjira.hisense.com/projects/H5EI"
"H6","H6","其他","software",,"http://tvjira.hisense.com/projects/H6"
"H7","H7","其他","software",,"http://tvjira.hisense.com/projects/H7"
"H8","H8","其他","software",,"http://tvjira.hisense.com/projects/H8"
"H9","H9","其他","software",,"http://tvjira.hisense.com/projects/H9"
"HA","HA","其他","software",,"http://tvjira.hisense.com/projects/HA"
"HAYSYNCTEST","HAY_SYNCTEST","测试质量和自动化","software",,"http://tvjira.hisense.com/projects/HAYSYNCTEST"
"HAYWARDSYNC","HAYWARD_SYNC","其他","software",,"http://tvjira.hisense.com/projects/HAYWARDSYNC"
"HB8100P","HB8100P","其他","software",,"http://tvjira.hisense.com/projects/HB8100P"
"HBBTVTA","HbbTV TA新特性开发预研","产品项目","software",,"http://tvjira.hisense.com/projects/HBBTVTA"
"HBBTV204","HbbTV2.0.4新规范预研","产品项目","software",,"http://tvjira.hisense.com/projects/HBBTV204"
"HD6200MA","HD6200MA","其他","software",,"http://tvjira.hisense.com/projects/HD6200MA"
"HEAISERVER","HE-AIserver","AI和画质算法","software",,"http://tvjira.hisense.com/projects/HEAISERVER"
"HICLASS","Hi-Class","其他","software",,"http://tvjira.hisense.com/projects/HICLASS"
"HI3731","HI3731","其他","software",,"http://tvjira.hisense.com/projects/HI3731"
"HI3751V810SXSZBP","Hi3751V810-商显数字标牌","其他","software",,"http://tvjira.hisense.com/projects/HI3751V810SXSZBP"
"HIBOARD","HiBoard-白板软件","其他","software",,"http://tvjira.hisense.com/projects/HIBOARD"
"HISENSEADDITIONSCBB","HisenseAdditions_CBB","其他","software",,"http://tvjira.hisense.com/projects/HISENSEADDITIONSCBB"
"HISENSEELECTRONICTUT","HisenseElectronictutorial_CBB","其他","software",,"http://tvjira.hisense.com/projects/HISENSEELECTRONICTUT"
"HISENSEFILEEXPLORER","HisenseFileExplorer_CBB","其他","software",,"http://tvjira.hisense.com/projects/HISENSEFILEEXPLORER"
"HISENSEMANUALCBB","HisenseManual_CBB","其他","software",,"http://tvjira.hisense.com/projects/HISENSEMANUALCBB"
"RAYCODERECEIVER","HisenseRayCodeReceiver_CBB","其他","software",,"http://tvjira.hisense.com/projects/RAYCODERECEIVER"
"HISENSESHARE","HisenseShare_CBB","其他","software",,"http://tvjira.hisense.com/projects/HISENSESHARE"
"HISENSEXRV01","HisenseXR-V01","其他","software",,"http://tvjira.hisense.com/projects/HISENSEXRV01"
"ZXHZA1","Hisense智享盒子A1","其他","software",,"http://tvjira.hisense.com/projects/ZXHZA1"
"HISFAC","HISFAC","其他","software",,"http://tvjira.hisense.com/projects/HISFAC"
"HISIG200AXF","Hisi-G200A信发","其他","software",,"http://tvjira.hisense.com/projects/HISIG200AXF"
"HISIH1600Y","HiSi-H1600Y","其他","software",,"http://tvjira.hisense.com/projects/HISIH1600Y"
"HISIH268UHOTEL","Hisi-H268U酒店","其他","software",,"http://tvjira.hisense.com/projects/HISIH268UHOTEL"
"HISIH300UHOTEL","HiSi-H300U酒店","其他","software",,"http://tvjira.hisense.com/projects/HISIH300UHOTEL"
"HISI300U550U","HiSi-K300U&K550U","其他","software",,"http://tvjira.hisense.com/projects/HISI300U550U"
