"Id","Name","Custom","Orderable","Searchable","ClauseNames","SchemaType","SchemaCustom"
"customfield_11507","会议纪要","True","True","True","cf[11507]|会议纪要","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_11509","软件阶段","True","True","True","cf[11509]|软件阶段","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_21301","审批任务类型","True","True","True","cf[21301]|审批任务类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_23800","同步失败类型","True","True","True","cf[23800]|同步失败类型","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"customfield_21300","申诉实际责任人领导","True","True","True","cf[21300]|申诉实际责任人领导","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_19100","项目列表","True","True","True","cf[19100]|项目列表","project","com.atlassian.jira.plugin.system.customfieldtypes:project"
"customfield_11500","说明书测试版本","True","True","True","cf[11500]|说明书测试版本","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_20200","静态代码检查任务地址","True","True","True","cf[20200]|静态代码检查任务地址","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"customfield_18000","科室","True","True","True","cf[18000]|科室","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_10400","结构评审阶段","True","True","True","cf[10400]|结构评审阶段","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_13900","【信息提供日期】Information Reporting Date","True","True","True","cf[13900]|【信息提供日期】Information Reporting Date","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_11600","影响项目","True","True","True","cf[11600]|影响项目","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_11603","说明书修复版本","True","True","True","cf[11603]|说明书修复版本","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_11604","说明书验证版本","True","True","True","cf[11604]|说明书验证版本","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_21401","Reopen申诉问题","True","True","True","cf[21401]|Reopen申诉问题","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_13100","Owner","True","True","True","cf[13100]|Owner","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_17700","电视产品线","True","True","True","cf[17700]|电视产品线","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_15400","需求澄清结果","True","True","True","cf[15400]|需求澄清结果","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_15401","VIDAA版本","True","True","True","cf[15401]|VIDAA版本","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_13101","Requested resolve date","True","True","True","cf[13101]|Requested resolve date","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"customfield_13104","Actual issue date","True","True","True","Actual issue date|cf[13104]","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"customfield_17703","详细描述","True","True","True","cf[17703]|详细描述","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_13106","Root cause","True","True","True","cf[13106]|Root cause","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
